ProductID,ProductName,Category,SubCategory,UnitCost,UnitPrice,Supplier
1001,Beverages Item 1,Grocery,Beverages,193.95,349.82,Supplier 14
1002,Beverages Item 2,Grocery,Beverages,60.5,73.81,Supplier 5
1003,Beverages Item 3,Grocery,Beverages,114.99,191.72,Supplier 3
1004,Beverages Item 4,Grocery,Beverages,94.43,119.96,Supplier 5
1005,Beverages Item 5,Grocery,Beverages,176.35,273.44,Supplier 2
1006,Beverages Item 6,Grocery,Beverages,153.46,192.15,Supplier 12
1007,Beverages Item 7,Grocery,Beverages,63.47,89.23,Supplier 5
1008,Beverages Item 8,Grocery,Beverages,247.41,376.0,Supplier 9
1009,Beverages Item 9,Grocery,Beverages,57.24,76.04,Supplier 13
1010,Beverages Item 10,Grocery,Beverages,194.67,249.17,Supplier 1
1011,Snacks Item 1,Grocery,Snacks,201.85,276.64,Supplier 2
1012,Snacks Item 2,Grocery,Snacks,55.11,97.17,Supplier 15
1013,Snacks Item 3,Grocery,Snacks,180.32,229.35,Supplier 8
1014,Snacks Item 4,Grocery,Snacks,100.72,174.97,Supplier 8
1015,Snacks Item 5,Grocery,Snacks,38.29,47.38,Supplier 12
1016,Snacks Item 6,Grocery,Snacks,141.66,183.69,Supplier 10
1017,Snacks Item 7,Grocery,Snacks,108.82,161.23,Supplier 6
1018,Snacks Item 8,Grocery,Snacks,57.17,103.81,Supplier 9
1019,Snacks Item 9,Grocery,Snacks,124.9,200.4,Supplier 14
1020,Snacks Item 10,Grocery,Snacks,30.08,45.45,Supplier 13
1021,Bakery Item 1,Grocery,Bakery,171.08,254.93,Supplier 7
1022,Bakery Item 2,Grocery,Bakery,97.26,176.46,Supplier 9
1023,Bakery Item 3,Grocery,Bakery,65.1,95.17,Supplier 1
1024,Bakery Item 4,Grocery,Bakery,171.03,209.69,Supplier 15
1025,Bakery Item 5,Grocery,Bakery,135.63,176.15,Supplier 11
1026,Bakery Item 6,Grocery,Bakery,87.02,114.21,Supplier 3
1027,Bakery Item 7,Grocery,Bakery,115.07,204.08,Supplier 15
1028,Bakery Item 8,Grocery,Bakery,180.76,323.69,Supplier 13
1029,Bakery Item 9,Grocery,Bakery,47.13,81.79,Supplier 14
1030,Bakery Item 10,Grocery,Bakery,157.45,263.51,Supplier 9
1031,Dairy Item 1,Grocery,Dairy,153.42,190.79,Supplier 13
1032,Dairy Item 2,Grocery,Dairy,42.9,76.07,Supplier 15
1033,Dairy Item 3,Grocery,Dairy,134.0,157.68,Supplier 6
1034,Dairy Item 4,Grocery,Dairy,123.69,151.5,Supplier 6
1035,Dairy Item 5,Grocery,Dairy,220.04,366.43,Supplier 5
1036,Dairy Item 6,Grocery,Dairy,62.14,79.9,Supplier 10
1037,Dairy Item 7,Grocery,Dairy,236.9,287.39,Supplier 8
1038,Dairy Item 8,Grocery,Dairy,204.56,367.51,Supplier 9
1039,Dairy Item 9,Grocery,Dairy,192.16,236.8,Supplier 8
1040,Dairy Item 10,Grocery,Dairy,236.87,295.92,Supplier 9
1041,TVs Item 1,Electronics,TVs,218.49,302.17,Supplier 4
1042,TVs Item 2,Electronics,TVs,232.44,372.85,Supplier 12
1043,TVs Item 3,Electronics,TVs,52.68,69.64,Supplier 11
1044,TVs Item 4,Electronics,TVs,163.52,227.56,Supplier 9
1045,TVs Item 5,Electronics,TVs,114.52,147.65,Supplier 2
1046,TVs Item 6,Electronics,TVs,86.51,128.45,Supplier 4
1047,TVs Item 7,Electronics,TVs,148.34,174.96,Supplier 12
1048,TVs Item 8,Electronics,TVs,158.88,203.35,Supplier 15
1049,TVs Item 9,Electronics,TVs,10.76,14.33,Supplier 9
1050,TVs Item 10,Electronics,TVs,61.79,95.16,Supplier 4
1051,Laptops Item 1,Electronics,Laptops,136.19,215.15,Supplier 15
1052,Laptops Item 2,Electronics,Laptops,144.05,203.4,Supplier 13
1053,Laptops Item 3,Electronics,Laptops,119.82,164.61,Supplier 2
1054,Laptops Item 4,Electronics,Laptops,26.94,37.38,Supplier 7
1055,Laptops Item 5,Electronics,Laptops,104.54,176.93,Supplier 1
1056,Laptops Item 6,Electronics,Laptops,169.32,305.22,Supplier 2
1057,Laptops Item 7,Electronics,Laptops,17.97,28.45,Supplier 13
1058,Laptops Item 8,Electronics,Laptops,215.83,278.35,Supplier 4
1059,Laptops Item 9,Electronics,Laptops,135.46,167.66,Supplier 3
1060,Laptops Item 10,Electronics,Laptops,71.8,92.64,Supplier 15
