ReturnID,OrderID,OrderLineID,ReturnDate,ReturnReason,QuantityReturned
900001,512100,2,2026-02-01,Damaged in Shipping,3
900002,507188,2,2025-05-03,Wrong Item,1
900003,501283,3,2024-04-25,Damaged in Shipping,4
900004,503323,2,2024-09-07,Wrong Item,1
900005,506527,2,2025-02-23,Wrong Item,3
900006,514217,1,2026-07-03,Damaged in Shipping,3
900007,511798,4,2026-01-16,Damaged in Shipping,6
900008,500140,2,2024-01-31,Wrong Item,4
900009,507532,1,2025-05-09,Wrong Item,4
900010,500153,1,2024-01-23,Better Price Found,2
900011,508760,2,2025-08-10,Defective,6
900012,505076,4,2024-12-14,Wrong Item,1
900013,513798,1,2026-06-20,No Longer Needed,4
900014,513171,1,2026-04-23,Better Price Found,4
900015,506994,1,2025-04-19,Defective,3
900016,503779,1,2024-09-30,Damaged in Shipping,5
900017,513733,3,2026-06-18,Better Price Found,6
900018,512589,4,2026-04-05,Wrong Item,3
900019,512398,1,2026-03-19,Wrong Item,2
900020,504639,1,2024-11-21,Better Price Found,5
900021,501273,4,2024-04-12,Better Price Found,4
900022,511971,3,2026-01-26,Wrong Item,5
900023,505475,4,2025-01-02,Damaged in Shipping,3
900024,503913,5,2024-10-06,Wrong Item,4
900025,510966,4,2025-12-21,Defective,1
900026,504053,1,2024-10-18,Wrong Item,1
900027,511452,3,2026-01-03,Damaged in Shipping,5
900028,505426,4,2024-12-28,No Longer Needed,4
900029,500959,3,2024-03-19,Damaged in Shipping,3
900030,512389,1,2026-03-06,Damaged in Shipping,6
900031,513420,2,2026-05-17,No Longer Needed,2
900032,509518,3,2025-09-26,Better Price Found,1
900033,506313,1,2025-02-05,Damaged in Shipping,5
900034,505958,3,2025-01-10,Damaged in Shipping,3
900035,508605,1,2025-07-28,Wrong Item,6
900036,510260,1,2025-11-28,Better Price Found,5
900037,514009,1,2026-06-12,Better Price Found,4
900038,503008,3,2024-08-17,No Longer Needed,4
900039,502270,2,2024-07-03,No Longer Needed,2
900040,500757,2,2024-03-19,Wrong Item,1
900041,511277,1,2025-12-17,No Longer Needed,1
900042,508143,3,2025-06-17,No Longer Needed,2
900043,506978,5,2025-04-16,Better Price Found,5
900044,511133,4,2025-12-24,Damaged in Shipping,3
900045,505245,2,2024-12-19,Wrong Item,2
900046,510160,1,2025-11-23,Better Price Found,2
900047,513908,5,2026-06-21,Better Price Found,1
900048,505686,2,2024-12-24,Defective,2
900049,500729,2,2024-03-07,Damaged in Shipping,1
900050,503153,4,2024-08-19,Damaged in Shipping,4
900051,502832,1,2024-08-12,Better Price Found,1
900052,511172,2,2025-12-11,Better Price Found,2
900053,511061,1,2025-12-11,Better Price Found,1
900054,507826,4,2025-06-04,No Longer Needed,1
900055,507463,1,2025-04-27,Defective,5
900056,500024,1,2024-01-08,Wrong Item,3
900057,513431,1,2026-05-17,Wrong Item,5
900058,501566,1,2024-05-01,Better Price Found,5
900059,506674,1,2025-03-17,Better Price Found,1
900060,508455,3,2025-07-17,No Longer Needed,3
900061,513931,1,2026-06-09,Defective,1
900062,512271,1,2026-02-23,Better Price Found,6
900063,513381,1,2026-05-17,Defective,4
900064,503466,2,2024-09-03,Wrong Item,6
900065,508339,3,2025-07-11,Defective,4
900066,512184,2,2026-02-17,Damaged in Shipping,2
900067,502476,2,2024-06-25,Better Price Found,2
900068,506416,4,2025-02-25,No Longer Needed,1
900069,502412,1,2024-07-02,No Longer Needed,3
900070,503548,1,2024-09-30,Defective,4
900071,513858,1,2026-06-17,Damaged in Shipping,5
900072,507970,1,2025-06-14,No Longer Needed,5
900073,513039,1,2026-04-12,Better Price Found,6
900074,513775,2,2026-06-17,No Longer Needed,2
900075,507450,5,2025-05-05,No Longer Needed,2
900076,510458,2,2025-11-11,Damaged in Shipping,5
900077,506655,1,2025-03-13,Defective,3
900078,501405,2,2024-04-26,No Longer Needed,6
900079,507375,1,2025-05-03,Defective,6
900080,514132,1,2026-07-19,No Longer Needed,2
900081,502789,2,2024-07-30,Defective,2
900082,512642,1,2026-03-22,Better Price Found,1
900083,501578,1,2024-05-21,Better Price Found,1
900084,508659,1,2025-08-14,Damaged in Shipping,4
900085,507097,1,2025-04-17,Wrong Item,3
900086,514473,1,2026-08-10,Damaged in Shipping,2
