Month,Region,RevenueTarget
2024-01-01,Midwest,120271.91
2024-01-01,Northeast,104735.1
2024-01-01,South Central,150960.87
2024-01-01,Southeast,158979.73
2024-01-01,Southwest,89571.96
2024-02-01,Midwest,144370.08
2024-02-01,Northeast,134149.34
2024-02-01,South Central,107315.72
2024-02-01,Southeast,118462.61
2024-02-01,Southwest,88720.99
2024-03-01,Midwest,142437.12
2024-03-01,Northeast,194449.95
2024-03-01,South Central,150409.71
2024-03-01,Southeast,151260.33
2024-03-01,Southwest,131817.74
2024-04-01,Midwest,155579.26
2024-04-01,Northeast,185910.32
2024-04-01,South Central,152857.84
2024-04-01,Southeast,158151.74
2024-04-01,Southwest,132988.05
2024-05-01,Midwest,189739.81
2024-05-01,Northeast,172842.83
2024-05-01,South Central,163554.4
2024-05-01,Southeast,181065.14
2024-05-01,Southwest,136927.92
2024-06-01,Midwest,206811.43
2024-06-01,Northeast,147141.55
2024-06-01,South Central,201528.95
2024-06-01,Southeast,169711.12
2024-06-01,Southwest,105184.13
2024-07-01,Midwest,147231.38
2024-07-01,Northeast,163689.23
2024-07-01,South Central,154845.49
2024-07-01,Southeast,141403.42
2024-07-01,Southwest,129045.34
2024-08-01,Midwest,157617.21
2024-08-01,Northeast,185289.93
2024-08-01,South Central,188927.53
2024-08-01,Southeast,174286.88
2024-08-01,Southwest,129356.68
2024-09-01,Midwest,140155.43
2024-09-01,Northeast,196154.54
2024-09-01,South Central,185932.66
2024-09-01,Southeast,160839.79
2024-09-01,Southwest,109695.18
2024-10-01,Midwest,150057.78
2024-10-01,Northeast,215414.28
2024-10-01,South Central,145974.61
2024-10-01,Southeast,176326.56
2024-10-01,Southwest,105766.74
2024-11-01,Midwest,273794.26
2024-11-01,Northeast,285722.72
2024-11-01,South Central,291197.38
2024-11-01,Southeast,297547.96
2024-11-01,Southwest,196888.25
2024-12-01,Midwest,270366.23
2024-12-01,Northeast,276541.95
2024-12-01,South Central,275206.43
2024-12-01,Southeast,293293.69
2024-12-01,Southwest,226000.15
2025-01-01,Midwest,117866.45
2025-01-01,Northeast,163041.83
2025-01-01,South Central,172823.61
2025-01-01,Southeast,116386.79
2025-01-01,Southwest,97654.67
2025-02-01,Midwest,129844.28
2025-02-01,Northeast,115353.39
2025-02-01,South Central,167219.13
2025-02-01,Southeast,127665.78
2025-02-01,Southwest,74082.01
2025-03-01,Midwest,202984.09
2025-03-01,Northeast,141899.48
2025-03-01,South Central,165620.09
2025-03-01,Southeast,153893.36
2025-03-01,Southwest,128109.07
2025-04-01,Midwest,172897.69
2025-04-01,Northeast,187808.42
2025-04-01,South Central,188508.89
2025-04-01,Southeast,169196.65
2025-04-01,Southwest,114409.69
2025-05-01,Midwest,158584.4
2025-05-01,Northeast,171160.65
2025-05-01,South Central,126812.74
2025-05-01,Southeast,178992.69
2025-05-01,Southwest,112363.77
2025-06-01,Midwest,167786.07
2025-06-01,Northeast,150877.31
2025-06-01,South Central,152308.08
2025-06-01,Southeast,136708.16
2025-06-01,Southwest,123388.57
2025-07-01,Midwest,195013.83
2025-07-01,Northeast,171172.46
2025-07-01,South Central,195804.58
2025-07-01,Southeast,151983.04
2025-07-01,Southwest,96881.65
2025-08-01,Midwest,198447.63
2025-08-01,Northeast,169107.83
2025-08-01,South Central,191650.69
2025-08-01,Southeast,142352.68
2025-08-01,Southwest,135009.62
2025-09-01,Midwest,135916.87
2025-09-01,Northeast,152480.92
2025-09-01,South Central,148138.33
2025-09-01,Southeast,134084.82
2025-09-01,Southwest,142018.91
2025-10-01,Midwest,209517.35
2025-10-01,Northeast,171559.8
2025-10-01,South Central,174770.78
2025-10-01,Southeast,173015.61
2025-10-01,Southwest,155380.72
2025-11-01,Midwest,254474.45
2025-11-01,Northeast,256715.95
2025-11-01,South Central,282363.17
2025-11-01,Southeast,268169.41
2025-11-01,Southwest,249151.05
2025-12-01,Midwest,272516.62
2025-12-01,Northeast,304772.75
2025-12-01,South Central,316567.58
2025-12-01,Southeast,330712.12
2025-12-01,Southwest,192431.08
2026-01-01,Midwest,116469.21
2026-01-01,Northeast,180448.0
2026-01-01,South Central,184461.58
2026-01-01,Southeast,139584.15
2026-01-01,Southwest,106641.52
2026-02-01,Midwest,102400.35
2026-02-01,Northeast,108999.24
2026-02-01,South Central,105529.92
2026-02-01,Southeast,131522.8
2026-02-01,Southwest,93278.26
2026-03-01,Midwest,169365.58
2026-03-01,Northeast,182993.32
2026-03-01,South Central,183119.71
2026-03-01,Southeast,174072.87
2026-03-01,Southwest,128165.4
2026-04-01,Midwest,148444.58
2026-04-01,Northeast,188815.56
2026-04-01,South Central,184669.67
2026-04-01,Southeast,152672.22
2026-04-01,Southwest,144184.42
2026-05-01,Midwest,185397.46
2026-05-01,Northeast,157754.13
2026-05-01,South Central,156128.1
2026-05-01,Southeast,173332.15
2026-05-01,Southwest,151932.08
2026-06-01,Midwest,170067.95
2026-06-01,Northeast,176760.94
2026-06-01,South Central,216949.97
2026-06-01,Southeast,149420.73
2026-06-01,Southwest,118303.27
2026-07-01,Midwest,179820.55
2026-07-01,Northeast,121511.73
2026-07-01,South Central,126395.5
2026-07-01,Southeast,136551.49
2026-07-01,Southwest,121152.2
